ExternalId;Geometry;X;Y;Street;OrientationNumber;Address;Type;District;DistrictTwo;LegalArea;HousingCount
24088;POINT (21.2562952955251 48.7545373953393);21.2562952955251;48.7545373953393;Magnezitárska;23;Magnezitárska 23;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
24089;POINT (21.2552658 48.7539783);21.2552658;48.7539783;Na Sihoti;29;Na Sihoti 29;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
24091;POINT (21.2553921 48.7538719);21.2553921;48.7538719;Na Sihoti;30;Na Sihoti 30;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
24092;POINT (21.2564218 48.754259);21.2564218;48.754259;Magnezitárska;19;Magnezitárska 19;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
24095;POINT (21.2566875744171 48.7540620262727);21.2566875744171;48.7540620262727;Magnezitárska;15;Magnezitárska 15;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
24082;POINT (21.2547673 48.75455);21.2547673;48.75455;Na Sihoti;24;Na Sihoti 24;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
29721;POINT (21.2771472 48.7229413);21.2771472;48.7229413;Šarišská;17;Šarišská 17;Rodinný dom;Košice-Vyšné Opátske;Vyšné Opátske;Nižná Úvrať;1.0
24096;POINT (21.2558476 48.7534297);21.2558476;48.7534297;Na Sihoti;34;Na Sihoti 34;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
29720;POINT (21.2772857 48.7229595);21.2772857;48.7229595;Nevädzová;11;Nevädzová 11;Rodinný dom;Košice-Vyšné Opátske;Vyšné Opátske;Nižná Úvrať;1.0
24097;POINT (21.2560489 48.7533013);21.2560489;48.7533013;Na Sihoti;35;Na Sihoti 35;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
24098;POINT (21.2561342 48.7529748);21.2561342;48.7529748;Na Sihoti;36;Na Sihoti 36;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
29719;POINT (21.2773761 48.7227992);21.2773761;48.7227992;Nevädzová;13;Nevädzová 13;Rodinný dom;Košice-Vyšné Opátske;Vyšné Opátske;Nižná Úvrať;1.0
29718;POINT (21.2777462 48.7229521);21.2777462;48.7229521;Nevädzová;17;Nevädzová 17;Rodinný dom;Košice-Vyšné Opátske;Vyšné Opátske;Nižná Úvrať;1.0
